"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.318560200E-2,2.292096615E-4,-5.064904690E-4,1.297760010E-2,1.298950245E-2
3.118119600E-2,8.626359701E-2,2.529793978E-2,-3.044891357E-2,9.491327760E-2
3.917678900E-2,1.622976959E-1,2.581518888E-2,-6.942653656E-2,1.784012613E-1
4.720290000E-2,1.620896459E-1,1.373538375E-2,-7.486724854E-2,1.790721055E-1
5.519849300E-2,1.392951012E-1,7.457315922E-3,-6.581497192E-2,1.542411984E-1
6.319408600E-2,9.665754437E-2,-1.677429676E-2,7.975578308E-3,9.842595067E-2
7.118968000E-2,5.070711672E-2,-2.558195591E-2,8.428573608E-2,1.016352963E-1
7.921579100E-2,5.985711515E-2,-4.859405756E-2,1.366548538E-1,1.569038105E-1
8.721138400E-2,7.819125056E-2,-4.493626952E-2,1.910581589E-1,2.112731882E-1
9.520697700E-2,9.117577225E-2,-4.633606970E-2,2.072372437E-1,2.311002552E-1
1.032025700E-1,8.284834027E-2,-5.415621400E-2,1.803846359E-1,2.057555829E-1
1.112286810E-1,8.006156236E-2,-6.318856776E-2,1.846637726E-1,2.109581896E-1
1.192242740E-1,1.152063161E-1,-2.530728281E-2,1.531171799E-1,1.932817234E-1
1.272198680E-1,8.378837258E-2,-3.423802555E-2,1.336269379E-1,1.613966923E-1
1.352154610E-1,7.373255491E-2,-3.734114766E-2,1.356744766E-1,1.588660271E-1
1.432415710E-1,6.272912025E-2,-3.026078641E-2,1.284151077E-1,1.460859255E-1
1.512371650E-1,3.678192198E-2,-2.850814164E-2,1.328907013E-1,1.408032756E-1
1.592327580E-1,3.338677436E-2,-4.066020250E-2,7.536411285E-2,9.191125217E-2
1.672283520E-1,-2.007202059E-2,-2.861647308E-2,8.487319946E-2,9.178915257E-2
1.752544630E-1,-2.556335926E-2,-3.312346339E-2,5.367755890E-2,6.805828012E-2
1.832500550E-1,-9.456977248E-2,-2.112209797E-2,-8.560180664E-3,9.727724083E-2
1.912456490E-1,-1.632152796E-1,-2.447807789E-2,1.328945160E-2,1.655747967E-1
1.992412420E-1,-1.104098558E-1,-1.902085543E-2,8.774185181E-2,1.423051713E-1
2.072673530E-1,-6.059761345E-2,-2.009122074E-2,1.093368530E-1,1.266107236E-1
2.152629470E-1,-1.067581773E-2,-9.213879704E-3,8.038234711E-2,8.160998952E-2
2.232585390E-1,7.144106925E-2,1.566012204E-2,6.607151031E-2,9.856221524E-2
2.312541330E-1,1.354630888E-1,3.084407747E-2,3.469085693E-2,1.431958836E-1
2.392802440E-1,2.426039875E-1,3.259155154E-2,-6.387901306E-2,2.529810907E-1
2.472758370E-1,2.486767918E-1,-5.361542106E-3,-1.289243698E-1,2.801613571E-1
2.552714310E-1,8.725395799E-2,-7.060709596E-2,-2.868080139E-2,1.158499182E-1
2.632670230E-1,-1.574893296E-2,-6.462579966E-2,1.170444489E-1,1.346251309E-1
2.712931340E-1,-9.387661517E-2,-8.349177986E-2,2.175559998E-1,2.512256142E-1
2.792887280E-1,-4.427830875E-2,-9.872049838E-2,4.615430832E-1,4.740551899E-1
2.872843210E-1,6.683577597E-2,-1.297486573E-1,4.946212769E-1,5.157052865E-1
2.952799150E-1,1.060235351E-1,-1.152687818E-1,4.368038177E-1,4.640317416E-1
3.032755080E-1,8.922763169E-2,-8.506013453E-2,3.480920792E-1,3.692761735E-1
3.113016180E-1,6.026815623E-3,-7.008945942E-2,2.903938293E-1,2.987932913E-1
3.192972120E-1,-4.825010151E-2,-4.765500873E-2,1.945714951E-1,2.060513015E-1
3.272928050E-1,-6.017379090E-2,-2.384290844E-2,1.274986267E-1,1.429869547E-1
3.352883990E-1,-4.689406231E-2,-2.422400564E-2,8.437824249E-2,9.952659612E-2
3.432839920E-1,2.704812586E-2,-5.377583206E-3,7.741928101E-3,2.864361996E-2
3.513101020E-1,7.470716536E-2,-1.959760487E-2,-6.649017334E-3,7.752055279E-2
3.593056960E-1,1.242849454E-1,-4.737199470E-2,2.923107147E-2,1.361811627E-1
3.673012890E-1,1.448073834E-1,-9.822423011E-2,7.946777344E-2,1.921777945E-1
3.753274000E-1,1.222206801E-1,-1.460068822E-1,1.105461121E-1,2.201734480E-1
3.833229940E-1,1.020029932E-1,-1.912598312E-1,1.368389130E-1,2.563392708E-1
3.913185860E-1,2.736620605E-2,-2.054367959E-1,1.679258347E-1,2.667438327E-1
3.993141800E-1,-5.277337506E-2,-2.438523322E-1,1.798706055E-1,3.075750701E-1
4.073097730E-1,-1.621037722E-1,-2.823624313E-1,1.726732254E-1,3.685406603E-1
4.153358840E-1,-2.125629783E-1,-2.756338716E-1,2.109775543E-1,4.070240525E-1
4.233314770E-1,-1.496608257E-1,-2.480530292E-1,1.990175247E-1,3.514777990E-1
4.313270700E-1,-9.811471403E-2,-2.355574816E-1,9.848213196E-2,2.735188377E-1
4.393226630E-1,-9.650773555E-2,-2.141075432E-1,-3.556251526E-2,2.375299467E-1
4.473182570E-1,-7.992480695E-2,-1.709102690E-1,-1.241073608E-1,2.258338589E-1
4.553443680E-1,-9.166467935E-2,-1.411506236E-1,-1.527929306E-1,2.273138615E-1
4.633399610E-1,-1.053597927E-1,-1.126630083E-1,-1.982307434E-1,2.511753710E-1
4.713660710E-1,-1.449335217E-1,-1.069807410E-1,-2.077465057E-1,2.749712991E-1
4.793616650E-1,-1.080996767E-1,-6.454494596E-2,-1.526117325E-1,1.978431981E-1
4.873572580E-1,-6.171726435E-2,-3.114931658E-2,-1.525344849E-1,1.674696083E-1
4.953528520E-1,-2.722844481E-2,-4.765934497E-2,-1.715993881E-1,1.801642344E-1
5.033789630E-1,7.553592324E-3,-4.457117990E-2,-1.427621841E-1,1.497487498E-1
5.113745550E-1,4.738557339E-2,-2.442534268E-2,-8.038997650E-2,9.646003448E-2
5.193701490E-1,-5.443528295E-3,-2.355678752E-2,-4.432964325E-2,5.049427204E-2
5.273657420E-1,-7.645361125E-2,-8.894577622E-3,-8.006286621E-2,1.110600321E-1
5.353613360E-1,-1.252656579E-1,1.500400621E-2,-1.109819412E-1,1.680285587E-1
5.433569290E-1,-1.455832273E-1,4.097841308E-2,-1.682243347E-1,2.262147944E-1
5.513830400E-1,-1.227845550E-1,3.125313669E-2,-2.374200821E-1,2.691116885E-1
5.593786330E-1,-1.029857248E-1,3.423798829E-2,-3.090028763E-1,3.275073692E-1
5.673742260E-1,-6.988765299E-2,4.751222208E-2,-3.518552780E-1,3.618616199E-1
5.753698200E-1,-8.304035664E-2,5.243083835E-2,-4.090671539E-1,4.206906584E-1
5.833959310E-1,-1.181387901E-1,3.037391230E-2,-3.728837967E-1,3.923285283E-1
5.913915240E-1,-1.869156063E-1,1.978499442E-2,-3.151168823E-1,3.669162566E-1
5.993871170E-1,-2.516403794E-1,2.023498714E-2,-2.070512772E-1,3.265004849E-1
6.073827100E-1,-1.331360936E-1,3.335004300E-2,-1.851682663E-1,2.304880293E-1
6.154088210E-1,-2.791544795E-2,3.252710402E-2,-1.728620529E-1,1.780970917E-1
6.234044150E-1,4.249683022E-2,6.094419956E-2,-1.509771347E-1,1.682684499E-1
6.314000080E-1,1.740936041E-1,1.538359076E-1,-2.200737000E-1,3.200101605E-1
6.394261180E-1,3.010384142E-1,2.181195766E-1,-2.939891815E-1,4.739513850E-1
6.474217120E-1,4.116574526E-1,2.566619217E-1,-3.487634659E-1,5.974723052E-1
6.554173050E-1,4.173975587E-1,2.605893910E-1,-3.436727524E-1,6.001987283E-1
6.634128990E-1,4.498998523E-1,2.327193022E-1,-2.403926849E-1,5.606753014E-1
6.714084920E-1,4.678761661E-1,1.560576707E-1,-3.653335571E-2,4.945672750E-1
6.794346020E-1,5.263924599E-1,6.350289285E-2,1.434030533E-1,5.492595697E-1
6.874301960E-1,5.802385807E-1,-2.148470283E-2,2.635097504E-1,6.376329599E-1
6.954257890E-1,7.630561590E-1,-4.918608069E-2,4.003839493E-1,8.631229803E-1
7.034213830E-1,8.555327654E-1,-8.168521523E-2,4.989967346E-1,9.937839444E-1
